tarefa,tipo,tecnica,input,resposta,acuracia,tokens_prompt,tokens_resposta,tempo_ms
classificacao_sentimento,classificacao,zero_shot,Comprei esse fone e a qualidade do som é excelente! Bateria ...,POSITIVO,1.0,145,3,712
classificacao_sentimento,classificacao,zero_shot,"Produto chegou com a tela trincada, embalagem toda amassada....",NEGATIVO,1.0,139,3,814
classificacao_sentimento,classificacao,zero_shot,"O tênis é bonito e confortável, mas o preço cobrado tá muito...",POSITIVO,0.0,137,5,752
classificacao_sentimento,classificacao,zero_shot,Recebi o produto no prazo informado. Está dentro do esperado...,NEUTRO,1.0,145,5,979
classificacao_sentimento,classificacao,zero_shot,"Cafeteira maravilhosa! Faz um café delicioso, fácil de limpa...",POSITIVO,1.0,136,5,916
classificacao_sentimento,classificacao,zero_shot,"Veio errado, pedi tamanho M e mandaram GG. A loja não respon...",NEGATIVO,1.0,135,3,747
classificacao_sentimento,classificacao,few_shot,Comprei esse fone e a qualidade do som é excelente! Bateria ...,POSITIVO,1.0,206,3,1058
classificacao_sentimento,classificacao,few_shot,"Produto chegou com a tela trincada, embalagem toda amassada....",NEGATIVO,1.0,200,5,901
classificacao_sentimento,classificacao,few_shot,"O tênis é bonito e confortável, mas o preço cobrado tá muito...",MISTO,1.0,213,3,1029
classificacao_sentimento,classificacao,few_shot,Recebi o produto no prazo informado. Está dentro do esperado...,NEUTRO,1.0,208,3,1188
classificacao_sentimento,classificacao,few_shot,"Cafeteira maravilhosa! Faz um café delicioso, fácil de limpa...",POSITIVO,1.0,205,5,1016
classificacao_sentimento,classificacao,few_shot,"Veio errado, pedi tamanho M e mandaram GG. A loja não respon...",NEGATIVO,1.0,210,4,879
classificacao_sentimento,classificacao,chain_of_thought,Comprei esse fone e a qualidade do som é excelente! Bateria ...,POSITIVO,1.0,216,61,1404
classificacao_sentimento,classificacao,chain_of_thought,"Produto chegou com a tela trincada, embalagem toda amassada....",NEGATIVO,1.0,212,64,1399
classificacao_sentimento,classificacao,chain_of_thought,"O tênis é bonito e confortável, mas o preço cobrado tá muito...",MISTO,1.0,221,62,1570
classificacao_sentimento,classificacao,chain_of_thought,Recebi o produto no prazo informado. Está dentro do esperado...,NEUTRO,1.0,211,69,1849
classificacao_sentimento,classificacao,chain_of_thought,"Cafeteira maravilhosa! Faz um café delicioso, fácil de limpa...",POSITIVO,1.0,213,64,1380
classificacao_sentimento,classificacao,chain_of_thought,"Veio errado, pedi tamanho M e mandaram GG. A loja não respon...",NEGATIVO,1.0,219,80,1670
classificacao_sentimento,classificacao,role_prompting,Comprei esse fone e a qualidade do som é excelente! Bateria ...,POSITIVO,1.0,301,5,935
classificacao_sentimento,classificacao,role_prompting,"Produto chegou com a tela trincada, embalagem toda amassada....",NEGATIVO,1.0,296,5,1016
classificacao_sentimento,classificacao,role_prompting,"O tênis é bonito e confortável, mas o preço cobrado tá muito...",POSITIVO,0.0,304,3,1337
classificacao_sentimento,classificacao,role_prompting,Recebi o produto no prazo informado. Está dentro do esperado...,NEUTRO,1.0,302,3,1094
classificacao_sentimento,classificacao,role_prompting,"Cafeteira maravilhosa! Faz um café delicioso, fácil de limpa...",POSITIVO,1.0,303,4,1225
classificacao_sentimento,classificacao,role_prompting,"Veio errado, pedi tamanho M e mandaram GG. A loja não respon...",NEGATIVO,1.0,306,3,1089
extracao_dados,extracao,zero_shot,Comprei um Notebook Dell Inspiron 15 por R$3.500 e a tela já...,"{""produto"":""Notebook Dell Inspiron 15"",""preco"":""R$3.500"",""defeito"":""pixels mortos""}",0.67,145,41,1043
extracao_dados,extracao,zero_shot,A Smart TV Samsung de 50 polegadas que comprei na semana pas...,"{""produto"":""Smart TV Samsung"",""preco"":null,""defeito"":""nao liga""}",1.0,144,37,1011
extracao_dados,extracao,zero_shot,Paguei R$899 num Fone JBL Tune 760 e o lado direito não func...,"{""produto"":""Fone JBL Tune 760"",""preco"":""R$899"",""defeito"":""lado direito nao funciona""}",1.0,150,40,973
extracao_dados,extracao,zero_shot,A Cadeira Gamer ThunderX3 que eu comprei está com o pistão v...,"{""produto"":""Cadeira Gamer ThunderX3"",""preco"":null,""defeito"":""pistao vazando oleo""}",1.0,143,40,936
extracao_dados,extracao,zero_shot,Comprei um Liquidificador Philco por R$199 e o motor faz um ...,"{""produto"":""Liquidificador Philco"",""preco"":""R$199"",""defeito"":""barulho estranho no motor""}",0.67,146,43,1027
extracao_dados,extracao,few_shot,Comprei um Notebook Dell Inspiron 15 por R$3.500 e a tela já...,"{""produto"":""Notebook Dell Inspiron 15"",""preco"":""R$3.500"",""defeito"":""pixels mortos""}",1.0,248,47,1150
extracao_dados,extracao,few_shot,A Smart TV Samsung de 50 polegadas que comprei na semana pas...,"{""produto"":""Smart TV Samsung"",""preco"":null,""defeito"":""nao liga""}",1.0,245,41,917
extracao_dados,extracao,few_shot,Paguei R$899 num Fone JBL Tune 760 e o lado direito não func...,"{""produto"":""Fone JBL Tune 760"",""preco"":""R$899"",""defeito"":""lado direito nao funciona""}",1.0,240,50,1005
extracao_dados,extracao,few_shot,A Cadeira Gamer ThunderX3 que eu comprei está com o pistão v...,"{""produto"":""Cadeira Gamer ThunderX3"",""preco"":null,""defeito"":""pistao vazando oleo""}",1.0,244,42,908
extracao_dados,extracao,few_shot,Comprei um Liquidificador Philco por R$199 e o motor faz um ...,"{""produto"":""Liquidificador Philco"",""preco"":""R$199"",""defeito"":""barulho estranho no motor""}",1.0,249,50,908
extracao_dados,extracao,chain_of_thought,Comprei um Notebook Dell Inspiron 15 por R$3.500 e a tela já...,"{""produto"":""Notebook Dell Inspiron 15"",""preco"":""R$3.500"",""defeito"":""pixels mortos""}",1.0,215,91,1705
extracao_dados,extracao,chain_of_thought,A Smart TV Samsung de 50 polegadas que comprei na semana pas...,"{""produto"":""Smart TV Samsung"",""preco"":null,""defeito"":""nao liga""}",1.0,215,89,1446
extracao_dados,extracao,chain_of_thought,Paguei R$899 num Fone JBL Tune 760 e o lado direito não func...,"{""produto"":""Fone JBL Tune 760"",""preco"":""R$899"",""defeito"":""lado direito nao funciona""}",1.0,212,68,1552
extracao_dados,extracao,chain_of_thought,A Cadeira Gamer ThunderX3 que eu comprei está com o pistão v...,"{""produto"":""Cadeira Gamer ThunderX3"",""preco"":null,""defeito"":""pistao vazando oleo""}",1.0,215,95,1851
extracao_dados,extracao,chain_of_thought,Comprei um Liquidificador Philco por R$199 e o motor faz um ...,"{""produto"":""Liquidificador Philco"",""preco"":""R$199"",""defeito"":""barulho estranho no motor""}",1.0,212,97,1738
extracao_dados,extracao,role_prompting,Comprei um Notebook Dell Inspiron 15 por R$3.500 e a tela já...,"{""produto"":""Notebook Dell Inspiron 15"",""preco"":""R$3.500"",""defeito"":""pixels mortos""}",1.0,289,52,1085
extracao_dados,extracao,role_prompting,A Smart TV Samsung de 50 polegadas que comprei na semana pas...,"{""produto"":""Smart TV Samsung"",""preco"":null,""defeito"":""nao liga""}",1.0,283,44,1160
extracao_dados,extracao,role_prompting,Paguei R$899 num Fone JBL Tune 760 e o lado direito não func...,"{""produto"":""Fone JBL Tune 760"",""preco"":""R$899"",""defeito"":""lado direito nao funciona""}",1.0,287,42,1286
extracao_dados,extracao,role_prompting,A Cadeira Gamer ThunderX3 que eu comprei está com o pistão v...,"{""produto"":""Cadeira Gamer ThunderX3"",""preco"":null,""defeito"":""pistao vazando oleo""}",1.0,280,43,978
extracao_dados,extracao,role_prompting,Comprei um Liquidificador Philco por R$199 e o motor faz um ...,"{""produto"":""Liquidificador Philco"",""preco"":""R$199"",""defeito"":""barulho estranho no motor""}",0.67,290,45,1305
geracao_resposta,geracao,zero_shot,Meu pedido está atrasado há 5 dias e ninguém me responde no ...,Olá! Lamentamos muito pelo atraso. Vamos priorizar seu pedido e enviar o rastreio em até 24h.,0.75,125,58,1005
geracao_resposta,geracao,zero_shot,Recebi o produto mas veio sem o manual e sem o cabo de força...,Olá! Sentimos pelo envio incompleto. Vamos enviar o manual e o cabo de força sem custo.,0.75,116,57,895
geracao_resposta,geracao,zero_shot,"Quero cancelar minha compra, ainda não saiu pra entrega. É p...","Olá! Sim, e possivel cancelar enquanto o pedido nao foi despachado. Confirmamos o reembolso em 5 dias uteis.",0.67,124,59,970
geracao_resposta,geracao,zero_shot,O produto chegou diferente da foto do site. Quero trocar....,Olá! Lamentamos. Voce pode iniciar a troca pelo portal em até 7 dias.,0.75,119,62,705
geracao_resposta,geracao,zero_shot,Já é a segunda vez que esse mesmo produto chega com defeito....,Olá! Lamentamos a recorrencia. Vamos trocar o produto e revisar o controle de qualidade do lote.,0.5,125,68,758
geracao_resposta,geracao,few_shot,Meu pedido está atrasado há 5 dias e ninguém me responde no ...,Olá! Lamentamos muito pelo atraso. Vamos priorizar seu pedido e enviar o rastreio em até 24h.,1.0,263,74,1128
geracao_resposta,geracao,few_shot,Recebi o produto mas veio sem o manual e sem o cabo de força...,Olá! Sentimos pelo envio incompleto. Vamos enviar o manual e o cabo de força sem custo.,0.75,265,53,950
geracao_resposta,geracao,few_shot,"Quero cancelar minha compra, ainda não saiu pra entrega. É p...","Olá! Sim, e possivel cancelar enquanto o pedido nao foi despachado. Confirmamos o reembolso em 5 dias uteis.",1.0,268,55,1032
geracao_resposta,geracao,few_shot,O produto chegou diferente da foto do site. Quero trocar....,Olá! Lamentamos. Voce pode iniciar a troca pelo portal em até 7 dias.,1.0,255,73,1168
geracao_resposta,geracao,few_shot,Já é a segunda vez que esse mesmo produto chega com defeito....,Olá! Lamentamos a recorrencia. Vamos trocar o produto e revisar o controle de qualidade do lote.,0.75,263,66,1190
geracao_resposta,geracao,chain_of_thought,Meu pedido está atrasado há 5 dias e ninguém me responde no ...,Olá! Lamentamos muito pelo atraso. Vamos priorizar seu pedido e enviar o rastreio em até 24h.,0.75,195,112,1408
geracao_resposta,geracao,chain_of_thought,Recebi o produto mas veio sem o manual e sem o cabo de força...,Olá! Sentimos pelo envio incompleto. Vamos enviar o manual e o cabo de força sem custo.,1.0,199,120,1819
geracao_resposta,geracao,chain_of_thought,"Quero cancelar minha compra, ainda não saiu pra entrega. É p...","Olá! Sim, e possivel cancelar enquanto o pedido nao foi despachado. Confirmamos o reembolso em 5 dias uteis.",0.75,196,89,1682
geracao_resposta,geracao,chain_of_thought,O produto chegou diferente da foto do site. Quero trocar....,Olá! Lamentamos. Voce pode iniciar a troca pelo portal em até 7 dias.,0.75,195,114,1843
geracao_resposta,geracao,chain_of_thought,Já é a segunda vez que esse mesmo produto chega com defeito....,Olá! Lamentamos a recorrencia. Vamos trocar o produto e revisar o controle de qualidade do lote.,0.75,190,118,1631
geracao_resposta,geracao,role_prompting,Meu pedido está atrasado há 5 dias e ninguém me responde no ...,Olá! Lamentamos muito pelo atraso. Vamos priorizar seu pedido e enviar o rastreio em até 24h.,1.0,315,55,957
geracao_resposta,geracao,role_prompting,Recebi o produto mas veio sem o manual e sem o cabo de força...,Olá! Sentimos pelo envio incompleto. Vamos enviar o manual e o cabo de força sem custo.,1.0,311,83,1325
geracao_resposta,geracao,role_prompting,"Quero cancelar minha compra, ainda não saiu pra entrega. É p...","Olá! Sim, e possivel cancelar enquanto o pedido nao foi despachado. Confirmamos o reembolso em 5 dias uteis.",1.0,309,62,929
geracao_resposta,geracao,role_prompting,O produto chegou diferente da foto do site. Quero trocar....,Olá! Lamentamos. Voce pode iniciar a troca pelo portal em até 7 dias.,1.0,307,83,1190
geracao_resposta,geracao,role_prompting,Já é a segunda vez que esse mesmo produto chega com defeito....,Olá! Lamentamos a recorrencia. Vamos trocar o produto e revisar o controle de qualidade do lote.,1.0,302,57,1274
